name,element,GW,bonus,assists,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,transfers_balance,yellow_cards,value,total_points
Antonee Robinson,283,15,3,3,3,26,1244,2,0,0,0.7,5399,4,4.4,34
Kenny Tete,285,15,0,0,2,10,501,0,0,0,0.3,-32923,2,4.4,19
Tosin Adarabioyo,286,15,0,0,1,0,92,0,0,0,0.0,-4802,0,4.3,8
Calvin Bassey,610,15,0,0,1,16,755,0,0,0,0.2,-16171,0,4.4,14
Luc De Fougerolles,625,15,0,0,0,0,0,0,0,0,0.1,-847,0,4.0,0
Timothy Castagne,688,15,3,0,3,15,932,0,0,0,0.5,42268,1,4.5,31
Fodé Ballo-Touré,707,15,0,0,0,0,15,0,0,0,0.0,784,0,4.5,1
Devan Tanton,732,15,0,0,0,0,0,0,0,0,0.0,477,0,4.0,0
Trent Alexander-Arnold,290,15,10,3,5,11,1048,0,0,0,11.9,-579533,3,8.0,71
Joe Gomez,298,15,1,0,3,4,614,0,0,0,0.5,2800,1,4.5,30
Ibrahima Konaté,302,15,0,0,3,6,578,0,0,0,1.5,-38296,2,4.9,26
Joel Matip,305,15,0,0,2,9,779,1,0,0,0.4,1973,2,4.9,21
Nathaniel Phillips,306,15,0,0,0,0,0,0,0,0,0.1,-15289,0,4.0,0
Andrew Robertson,307,15,3,0,1,9,720,0,0,0,2.4,-237875,1,6.4,26
Konstantinos Tsimikas,311,15,3,3,3,5,448,0,0,0,15.4,1567561,0,4.9,35
Sepp van den Berg,312,15,0,0,0,0,0,0,0,0,0.0,-2256,0,4.0,0
Virgil van Dijk,313,15,7,2,4,13,1107,0,0,0,9.0,-142413,1,6.1,53
Jarell Quansah,626,15,0,0,0,1,115,0,0,0,0.1,3440,0,4.0,5
Luke Chambers,726,15,0,0,0,0,0,0,0,0,0.0,764,0,4.0,0
Callum Scanlon,728,15,0,0,0,0,0,0,0,0,0.0,165,0,4.0,0
Conor Bradley,757,15,0,0,0,0,0,0,0,0,0.0,21,0,4.0,0
Mads Juel Andersen,315,15,1,0,0,6,371,0,0,0,0.8,4625,1,3.9,13
Amari'i Bell,316,15,0,0,0,20,830,0,0,0,3.1,-478740,0,3.9,12
Reece Burke,318,15,0,1,0,12,595,0,0,0,0.1,5720,1,4.0,13
Alfie Doughty,321,15,5,3,0,21,967,0,0,0,0.2,4146,1,4.4,33
Gabriel Osho,330,15,0,0,0,12,506,0,0,0,0.0,-250,1,4.4,12
Dan Potts,333,15,0,0,0,0,0,0,0,0,0.1,-1721,0,3.9,0
Teden Mengi,393,15,1,0,0,16,770,0,0,0,1.7,144821,0,3.9,19
Ryan Giles,553,15,0,0,0,10,299,0,0,0,0.1,-7765,0,4.3,8
Tom Lockyer,575,15,1,1,0,21,1080,1,0,0,0.2,2585,4,4.3,22
Issa Kaboré,602,15,3,2,0,21,957,0,0,0,5.3,-43148,4,4.0,24
Aidan Francis-Clarke,648,15,0,0,0,0,0,0,0,0,0.0,-600,0,4.0,0
Joseph Johnson,682,15,0,0,0,0,0,0,0,0,0.0,1412,0,4.0,0
Manuel Akanji,341,15,1,0,3,15,1080,0,0,0,5.6,4481,1,4.9,41
Nathan Aké,342,15,4,1,1,8,645,0,0,0,5.2,-26293,0,5.0,40
João Cancelo,346,15,0,0,0,0,0,0,0,0,1.1,-247319,0,5.8,0
Rúben Gato Alves Dias,350,15,1,0,3,15,1095,1,0,0,7.1,-88670,0,5.5,32
Aymeric Laporte,357,15,0,0,0,0,11,0,0,0,0.1,-31825,0,4.9,1
Rico Lewis,358,15,0,0,3,2,250,0,0,0,0.3,-17980,1,4.3,21
Sergio Gómez,366,15,0,1,0,0,15,0,0,0,1.0,-396,0,3.9,5
John Stones,368,15,0,0,2,3,346,0,0,0,2.9,-2107441,1,5.3,16
Kyle Walker,369,15,4,1,4,17,1350,0,0,0,16.0,1007479,1,5.3,48
Joško Gvardiol,616,15,1,0,3,11,907,0,0,0,3.7,-29998,2,4.9,29
Alex Telles,370,15,0,0,0,0,0,0,0,0,0.0,-699,0,4.5,0
Brandon Williams,374,15,0,0,0,0,0,0,0,0,0.1,-11018,0,4.0,0
Eric Bailly,375,15,0,0,0,0,0,0,0,0,0.1,-12875,0,4.0,0
Diogo Dalot Teixeira,377,15,8,1,4,17,1194,0,0,0,4.5,242774,3,5.0,53
Álvaro Fernández Carreras,380,15,0,0,0,0,0,0,0,0,0.1,-19472,0,4.0,0
Victor Lindelöf,386,15,3,1,3,10,898,0,0,0,0.7,43525,1,4.5,42
Harry Maguire,387,15,2,2,3,9,746,0,0,0,3.1,247294,1,4.3,35
Tyrell Malacia,389,15,0,0,0,0,0,0,0,0,0.0,-3989,0,4.3,0
Lisandro Martínez,391,15,0,1,0,8,375,1,0,0,2.3,-486138,2,4.7,5
Raphaël Varane,395,15,2,0,1,5,340,0,0,0,2.3,-159603,0,5.0,21
Luke Shaw,398,15,0,0,2,4,435,0,0,0,3.4,-2042787,2,5.2,15
Aaron Wan-Bissaka,401,15,5,1,2,7,523,0,0,0,2.4,-72635,2,4.4,26
Sergio Reguilón,508,15,2,0,2,4,312,0,0,0,0.4,15457,2,4.4,16
Jonny Evans,703,15,3,1,2,7,448,0,0,0,0.8,74906,1,4.0,23
Lewis Hall,204,15,0,0,0,0,54,0,0,0,0.2,-8130,0,4.3,2
Harrison Ashby,404,15,0,0,0,0,0,0,0,0,0.0,-2190,0,4.0,0
Sven Botman,405,15,4,1,2,3,446,0,0,0,5.4,-1224231,1,4.5,30
Dan Burn,407,15,0,0,4,11,945,0,0,0,3.0,-38734,2,4.4,37
Emil Krafth,417,15,0,0,0,1,2,0,0,0,0.0,-426,0,4.4,2
Jamaal Lascelles,419,15,3,0,4,9,820,0,0,0,8.3,796515,3,4.2,37
Jamal Lewis,420,15,0,0,0,0,0,0,0,0,0.0,-827,0,4.0,0
Javier Manquillo Gaitán,422,15,0,0,0,0,0,0,0,0,0.0,-2530,0,4.0,0
Fabian Schär,427,15,4,1,6,17,1350,0,0,0,8.0,544936,2,5.3,53
Matt Targett,428,15,0,0,0,4,77,0,0,0,0.1,-11016,1,4.2,2
Kieran Trippier,430,15,18,7,6,17,1307,0,0,0,50.6,1760585,4,7.0,83
Kell Watts,431,15,0,0,0,0,0,0,0,0,0.1,-7621,0,4.0,0
Paul Dummett,581,15,0,0,0,0,4,0,0,0,0.4,14792,0,3.9,1
Tino Livramento,633,15,1,0,1,6,406,0,0,0,1.3,107681,1,4.3,14
Alex Murphy,634,15,0,0,0,0,3,0,0,0,0.4,1636,0,3.9,1
Nuno Varela Tavares,23,15,0,0,0,2,93,0,0,0,0.3,-5194,2,4.0,0
Serge Aurier,436,15,3,2,1,15,831,0,0,0,1.3,47618,2,4.5,27
Giulian Biancone,438,15,0,0,0,0,0,0,0,0,0.1,-7089,0,3.9,0
Willy Boly,439,15,3,0,3,12,812,0,0,0,0.6,31405,1,4.5,36
Steve Cook,441,15,0,0,0,0,0,0,0,0,0.0,-2276,0,4.5,0
Mohamed Dräger,444,15,0,0,0,0,0,0,0,0,0.1,-9250,0,4.0,0
Felipe Augusto de Almeida Monteiro,445,15,0,0,0,5,120,0,0,0,0.0,-1922,1,4.4,0
Richie Laryea,452,15,0,0,0,0,0,0,0,0,0.0,-488,0,4.5,0
Loïc Mbe Soh,454,15,0,0,0,0,0,0,0,0,0.1,-6634,0,4.0,0
Scott McKenna,455,15,1,0,1,6,416,0,0,0,0.1,-3845,0,4.4,12
Moussa Niakhaté,457,15,1,0,1,14,553,0,0,0,0.1,-119,2,4.5,10
Jonathan Panzo,460,15,0,0,0,0,0,0,0,0,0.1,-8222,0,4.0,0
Omar Richards,461,15,0,0,0,0,0,0,0,0,0.0,-3701,0,4.4,0
Harry Toffolo,465,15,3,3,2,15,652,0,0,0,0.2,11429,1,4.4,30
Neco Williams,467,15,0,0,0,2,122,0,0,0,0.2,-10947,0,4.3,7
Joe Worrall,469,15,3,0,1,9,437,0,0,0,0.1,-3341,0,4.4,12
Olu Aina,604,15,2,1,2,21,806,0,0,0,0.5,33322,3,4.5,29
Josh Powell,637,15,0,0,0,0,0,0,0,0,0.1,-1521,0,4.0,0
Gonzalo Montiel,679,15,0,0,0,1,166,0,0,0,0.0,450,2,4.4,2
Murillo Santiago Costa dos Santos,696,15,1,0,2,17,795,0,0,0,0.1,4193,1,4.5,20
Andrew Omobamidele,711,15,0,0,0,0,0,0,0,0,0.0,-17,0,4.5,0
Auston Trusty,27,15,0,0,0,23,732,0,0,0,2.0,93150,1,3.9,9
Anel Ahmedhodžić,471,15,0,0,0,30,945,0,0,0,0.2,-26592,4,4.3,4
George Baldock,473,15,2,2,0,12,563,0,0,0,7.3,-613221,3,3.9,16
Chris Basham,474,15,0,0,0,6,316,0,0,0,0.5,-3029,1,4.0,8
Jayden Bogle,476,15,0,2,1,24,857,0,0,0,0.1,2915,3,4.5,25
John Egan,480,15,0,0,0,17,482,0,0,0,0.1,-9977,2,4.3,1
Max Lowe,484,15,0,0,0,3,126,0,0,0,0.0,-5525,0,4.3,4
Rhys Norrington-Davies,487,15,0,0,0,0,0,0,0,0,0.1,6315,0,3.9,0
Jack Robinson,576,15,0,1,0,41,1304,0,0,0,0.1,-2334,4,4.4,11
Yasser Larouci,592,15,0,0,0,7,219,0,0,0,0.0,-2673,0,4.3,4
Femi Seriki,653,15,0,0,0,0,0,0,0,0,0.1,967,0,4.0,0
Luke Thomas,693,15,0,0,0,27,827,0,0,0,0.1,4974,3,4.0,6
Jili Buyabu,731,15,0,0,0,0,0,0,0,0,0.0,555,0,4.0,0
Ben Davies,495,15,0,1,0,9,448,0,0,0,0.4,-37102,0,4.3,12
Eric Dier,496,15,0,0,0,6,146,0,0,0,0.5,-57282,0,4.2,0
Emerson Leite de Souza Junior,497,15,1,0,0,14,505,0,0,0,0.9,-20848,2,4.4,15
Pedro Porro,506,15,7,5,4,20,1257,0,0,0,13.6,1101434,3,5.3,55
Ivan Perišić,507,15,0,1,0,1,98,0,0,0,0.8,-227880,2,4.7,6
Joe Rodon,510,15,0,0,0,0,0,0,0,0,0.1,-13541,0,4.0,0
Cristian Romero,511,15,10,0,4,13,945,1,0,0,9.6,639027,3,4.9,53
Davinson Sánchez,512,15,0,0,0,2,76,0,0,0,0.1,-12124,1,4.4,0
Ryan Sessegnon,514,15,0,0,0,0,0,0,0,0,0.0,-385,0,4.4,0
