name,element,GW,bonus,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,value,transfers_balance,yellow_cards,total_points,mean_reversion
Luke Plange,237,15,0,0,0,0,0,0,0,0.0,4.5,-1458,0,0,0.0
Lyle Foster,168,15,4,1,19,609,0,0,0,0.7,4.9,23294,0,33,-9.666666666666668
Mark O’Mahony,741,15,0,0,0,0,0,0,0,0.0,4.5,1269,0,0,0.0
Mason Burstow,623,15,0,0,1,8,0,0,0,0.1,4.5,-9126,0,2,-0.2
Matheus Santos Carneiro Da Cunha,590,15,3,2,22,1239,0,0,0,3.6,5.6,311569,2,56,-19.466666666666672
Michael Ndiweni,745,15,0,0,0,1,0,0,0,0.0,4.5,839,0,1,0.0
Michael Obafemi,174,15,0,0,0,19,0,0,0,0.0,4.9,-2632,0,2,-0.9333333333333332
Michail Antonio,523,15,4,4,13,812,0,0,0,2.2,5.7,-88997,2,38,-11.266666666666666
Nathan Fraser,704,15,0,0,0,0,0,0,0,0.1,4.5,3205,0,0,0.0
Neal Maupay,258,15,4,2,11,570,0,0,0,1.4,4.9,15003,2,33,-12.999999999999998
Nicolas Jackson,211,15,5,3,20,1077,0,0,0,6.3,6.9,-893625,7,51,-22.33333333333333
Norberto Bercique Gomes Betuncal,691,15,0,2,5,383,0,0,0,0.1,5.7,7079,1,17,-2.75
Odsonne Edouard,225,15,9,4,16,1198,0,0,0,4.5,5.5,228791,3,58,-16.06666666666667
Oliver McBurnie,485,15,1,0,17,520,0,0,0,0.0,5.4,-2487,1,17,-7.2666666666666675
Ollie Watkins,60,15,11,3,20,1309,0,0,0,37.9,8.4,1362914,3,97,-34.4
Pierre-Emerick Aubameyang,188,15,0,0,0,0,0,0,0,0.0,6.5,-1948,0,0,0.0
Rasmus Højlund,617,15,0,3,10,758,0,0,0,3.2,6.9,151050,0,20,-8.133333333333333
Raúl Jiménez,558,15,5,3,22,922,0,0,0,1.0,5.2,-29887,2,38,-9.666666666666666
Rhian Brewster,477,15,0,0,5,163,0,0,0,0.0,4.9,-4799,0,5,-2.6
Rodrigo Muniz Carvalho,279,15,0,1,2,132,0,0,0,0.4,4.4,-9351,1,5,-2.066666666666667
Romelu Lukaku Bolingoli,207,15,0,0,0,0,0,0,0,0.3,6.8,-51963,0,0,0.0
Ronnie Stutter,717,15,0,0,0,0,0,0,0,0.0,4.5,1685,0,0,0.0
Sam Surridge,464,15,0,0,0,0,0,0,0,0.1,4.5,-25655,0,0,0.0
Sasa Kalajdzic,562,15,4,1,2,157,0,0,0,0.2,4.9,-569,0,23,-9.0
Shola Shoretire,399,15,0,0,0,0,0,0,0,0.3,4.4,3952,0,0,0.0
Taiwo Awoniyi,437,15,3,2,11,664,0,0,0,1.5,6.3,-1480,1,42,-11.0
Thomas Cannon,649,15,0,0,0,1,0,0,0,0.0,4.5,-1144,0,1,-0.1333333333333333
Wesley Moraes Ferreira da Silva,61,15,0,0,0,0,0,0,0,0.0,5.0,-769,0,0,0.0
William Osula,490,15,0,0,7,362,0,0,0,1.6,4.3,9663,3,8,-1.333333333333334
Wout Weghorst,183,15,0,0,0,0,0,0,0,0.0,5.5,-14774,0,0,0.0
Yoane Wissa,119,15,7,5,16,1203,0,0,0,8.3,5.9,179862,2,52,-14.93333333333333
Youssef Ramalho Chermiti,645,15,0,0,2,46,0,0,0,0.1,4.9,-2335,1,6,-2.466666666666667
Zeki Amdouni,594,15,4,3,19,978,0,0,0,0.2,5.3,7822,1,39,-11.466666666666665
