name,element,GW,bonus,assists,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,transfers_balance,yellow_cards,value,total_points,mean_reversion
Adam Smith,84,9,0,0,0,4,97,0,0,0,0.0,-1301,0,4.4,3,-0.33333333333333337
Adam Smith,84,10,0,0,0,4,97,0,0,0,0.0,-1317,0,4.4,3,-1.1
Adam Smith,84,11,0,0,0,4,97,0,0,0,0.0,-1354,0,4.4,3,-1.5757575757575757
Adam Webster,153,1,0,0,0,0,0,0,0,0,0.3,-4321,0,4.5,0,0.0
Adam Webster,153,2,0,0,0,1,90,0,0,0,0.3,-4813,1,4.4,1,0.0
Adam Webster,153,3,0,0,0,4,180,0,0,0,0.3,-5122,1,4.4,2,0.0
Adam Webster,153,4,0,0,0,4,180,0,0,0,0.3,-6653,1,4.4,2,0.25
Adam Webster,153,5,0,0,0,4,180,0,0,0,0.2,-8017,1,4.4,2,-0.26666666666666683
Adam Webster,153,6,0,0,0,5,270,0,0,0,0.2,-8960,1,4.4,4,-0.16666666666666674
Adam Webster,153,7,0,0,0,11,360,0,0,0,0.2,-9822,1,4.4,3,-0.6666666666666665
Adam Webster,153,8,0,0,0,11,360,0,0,0,0.2,-10356,1,4.3,3,-0.875
Adam Webster,153,9,0,0,0,12,450,0,0,0,0.2,-10664,1,4.3,5,-0.8888888888888888
Adam Webster,153,10,0,0,0,12,450,0,0,0,0.2,-10322,1,4.3,5,-0.9666666666666663
Adam Webster,153,11,0,0,0,12,450,0,0,0,0.2,-9860,1,4.3,5,-1.4242424242424239
Aidan Francis-Clarke,648,1,0,0,0,0,0,0,0,0,0.0,90,0,4.0,0,0.0
Aidan Francis-Clarke,648,2,0,0,0,0,0,0,0,0,0.0,249,0,4.0,0,0.0
Aidan Francis-Clarke,648,3,0,0,0,0,0,0,0,0,0.0,275,0,4.0,0,0.0
Aidan Francis-Clarke,648,4,0,0,0,0,0,0,0,0,0.0,223,0,4.0,0,0.0
Aidan Francis-Clarke,648,5,0,0,0,0,0,0,0,0,0.0,-51,0,4.0,0,0.0
Aidan Francis-Clarke,648,6,0,0,0,0,0,0,0,0,0.0,-241,0,4.0,0,0.0
Aidan Francis-Clarke,648,7,0,0,0,0,0,0,0,0,0.0,-335,0,4.0,0,0.0
Aidan Francis-Clarke,648,8,0,0,0,0,0,0,0,0,0.0,-377,0,4.0,0,0.0
Aidan Francis-Clarke,648,9,0,0,0,0,0,0,0,0,0.0,-461,0,4.0,0,0.0
Aidan Francis-Clarke,648,10,0,0,0,0,0,0,0,0,0.0,-476,0,4.0,0,0.0
Aidan Francis-Clarke,648,11,0,0,0,0,0,0,0,0,0.0,-512,0,4.0,0,0.0
Alex Murphy,634,1,0,0,0,0,0,0,0,0,0.3,1395,0,4.0,0,0.0
Alex Murphy,634,2,0,0,0,0,0,0,0,0,0.4,2495,0,4.0,0,0.0
Alex Murphy,634,3,0,0,0,0,0,0,0,0,0.4,2297,0,4.0,0,0.0
Alex Murphy,634,4,0,0,0,0,0,0,0,0,0.4,1357,0,4.0,0,0.0
Alex Murphy,634,5,0,0,0,0,0,0,0,0,0.3,-2484,0,4.0,0,0.0
Alex Murphy,634,6,0,0,0,0,0,0,0,0,0.3,-5809,0,4.0,0,0.0
Alex Murphy,634,7,0,0,0,0,0,0,0,0,0.3,-7554,0,3.9,0,0.0
Alex Murphy,634,8,0,0,0,0,0,0,0,0,0.3,-8082,0,3.9,0,0.0
Alex Murphy,634,9,0,0,0,0,0,0,0,0,0.3,-8413,0,3.9,0,0.0
Alex Murphy,634,10,0,0,0,0,0,0,0,0,0.3,-8469,0,3.9,0,0.0
Alex Murphy,634,11,0,0,0,0,0,0,0,0,0.3,-9057,0,3.9,0,0.0
Alex Telles,370,1,0,0,0,0,0,0,0,0,0.0,-296,0,4.5,0,0.0
Alex Telles,370,2,0,0,0,0,0,0,0,0,0.0,-482,0,4.5,0,0.0
Alex Telles,370,3,0,0,0,0,0,0,0,0,0.0,-539,0,4.5,0,0.0
Alex Telles,370,4,0,0,0,0,0,0,0,0,0.0,-599,0,4.5,0,0.0
Alex Telles,370,5,0,0,0,0,0,0,0,0,0.0,-626,0,4.5,0,0.0
Alex Telles,370,6,0,0,0,0,0,0,0,0,0.0,-644,0,4.5,0,0.0
Alex Telles,370,7,0,0,0,0,0,0,0,0,0.0,-650,0,4.5,0,0.0
Alex Telles,370,8,0,0,0,0,0,0,0,0,0.0,-660,0,4.5,0,0.0
Alex Telles,370,9,0,0,0,0,0,0,0,0,0.0,-673,0,4.5,0,0.0
Alex Telles,370,10,0,0,0,0,0,0,0,0,0.0,-675,0,4.5,0,0.0
Alex Telles,370,11,0,0,0,0,0,0,0,0,0.0,-682,0,4.5,0,0.0
Alexandre Moreno Lopera,32,1,0,0,0,0,0,0,0,0,0.0,-445,0,5.0,0,0.0
Alexandre Moreno Lopera,32,2,0,0,0,0,0,0,0,0,0.0,-1070,0,5.0,0,0.0
Alexandre Moreno Lopera,32,3,0,0,0,0,0,0,0,0,0.0,-1308,0,5.0,0,0.0
Alexandre Moreno Lopera,32,4,0,0,0,0,0,0,0,0,0.0,-1565,0,5.0,0,0.0
Alexandre Moreno Lopera,32,5,0,0,0,0,0,0,0,0,0.1,246,0,5.0,0,0.0
Alexandre Moreno Lopera,32,6,0,0,0,0,0,0,0,0,0.1,1474,0,5.0,0,0.0
Alexandre Moreno Lopera,32,7,0,0,0,0,0,0,0,0,0.1,-141,0,5.0,0,0.0
Alexandre Moreno Lopera,32,8,0,0,0,0,0,0,0,0,0.1,-775,0,5.0,0,0.0
Alexandre Moreno Lopera,32,9,0,0,0,0,0,0,0,0,0.0,-1784,0,5.0,0,0.0
Alexandre Moreno Lopera,32,10,0,0,0,0,0,0,0,0,0.0,-1878,0,5.0,0,0.0
Alexandre Moreno Lopera,32,11,0,0,0,0,0,0,0,0,0.1,-808,0,5.0,0,0.0
Alfie Doughty,321,1,0,0,0,3,26,0,0,0,0.2,-1413,0,4.5,0,0.0
Alfie Doughty,321,2,0,0,0,3,26,0,0,0,0.1,-3745,0,4.5,0,0.0
Alfie Doughty,321,3,0,0,0,4,46,0,0,0,0.1,-4535,0,4.4,1,0.0
Alfie Doughty,321,4,0,0,0,5,123,0,0,0,0.1,-6002,0,4.4,3,0.6666666666666667
Alfie Doughty,321,5,0,0,0,5,139,0,0,0,0.1,-6317,0,4.4,4,0.26666666666666683
Alfie Doughty,321,6,1,0,0,6,210,0,0,0,0.1,-4512,0,4.4,7,-0.16666666666666652
Alfie Doughty,321,7,4,1,0,9,382,0,0,0,0.2,1501,0,4.4,16,-0.23809523809523814
Alfie Doughty,321,8,4,1,0,10,472,0,0,0,0.2,5612,0,4.4,18,-2.875
Alfie Doughty,321,9,4,1,0,15,640,0,0,0,0.3,7702,1,4.4,19,-6.111111111111111
Alfie Doughty,321,10,4,1,0,15,640,0,0,0,0.3,7211,1,4.4,19,-8.966666666666669
Alfie Doughty,321,11,4,1,0,16,730,0,0,0,0.2,6026,1,4.4,21,-8.84848484848485
