name,element,GW,bonus,assists,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,transfers_balance,yellow_cards,value,total_points,mean_reversion
Matt Doherty,598,12,0,0,0,5,249,0,0,0,0.2,-11154,1,4.3,5,-2.833333333333333
Matt Targett,428,12,0,0,0,4,77,0,0,0,0.1,-9882,1,4.3,2,-0.75
Matty Cash,36,12,4,1,3,15,1023,1,0,0,33.1,2522857,3,5.2,45,-14.583333333333332
Max Aarons,643,12,0,1,2,24,949,0,0,0,0.2,5294,1,4.5,23,-5.083333333333332
Max Kilman,563,12,2,0,1,20,1080,0,0,0,0.7,-9559,2,4.5,22,-6.166666666666666
Max Lowe,484,12,0,0,0,2,124,0,0,0,0.0,-5502,0,4.3,3,-0.08333333333333348
Michael Keane,257,12,0,0,0,7,226,0,0,0,0.2,-11663,1,4.3,2,-0.08333333333333326
Michał Karbownik,136,12,0,0,0,0,0,0,0,0,0.0,-2230,0,4.0,0,0.0
Micky van de Ven,639,12,4,0,4,10,945,0,0,0,3.0,245290,1,4.6,43,-17.833333333333336
Milos Kerkez,595,12,0,0,1,24,853,1,0,0,0.2,-7181,1,4.4,13,-4.666666666666666
Mohamed Dräger,444,12,0,0,0,0,0,0,0,0,0.1,-8975,0,4.0,0,0.0
Moussa Niakhaté,457,12,1,0,1,10,449,0,0,0,0.1,-190,1,4.5,9,-1.4999999999999996
Murillo Santiago Costa dos Santos,696,12,1,0,2,8,525,0,0,0,0.1,4272,1,4.5,17,-4.888888888888889
Nathan Aké,342,12,2,0,1,6,552,0,0,0,5.2,-26369,0,5.0,32,-6.916666666666668
Nathan Collins,96,12,3,1,3,15,999,0,0,0,0.9,49516,2,4.5,40,-13.166666666666668
Nathan Patterson,262,12,2,1,1,10,524,0,0,0,0.2,-6326,1,4.4,20,-7.249999999999997
Nathaniel Clyne,222,12,0,0,1,0,130,0,0,0,0.1,-3722,0,4.4,8,-4.333333333333333
Nathaniel Phillips,306,12,0,0,0,0,0,0,0,0,0.1,-14759,0,4.0,0,0.0
Nayef Aguerd,522,12,0,0,1,21,966,0,0,0,0.9,18327,0,4.5,22,-6.666666666666666
Neco Williams,467,12,0,0,0,2,121,0,0,0,0.2,-10424,0,4.3,6,-1.6666666666666663
Nuno Varela Tavares,23,12,0,0,0,2,93,0,0,0,0.3,-4930,2,4.0,0,0.08333333333333333
Nélson Cabral Semedo,572,12,0,0,1,19,959,0,0,0,0.4,-201,4,4.5,16,-3.916666666666668
Oleksandr Zinchenko,31,12,6,0,4,6,663,0,0,0,7.2,19003,1,5.0,44,-15.250000000000005
Olu Aina,604,12,2,1,2,13,627,0,0,0,0.3,15845,3,4.5,28,-5.666666666666666
Omar Richards,461,12,0,0,0,0,0,0,0,0,0.0,-3644,0,4.4,0,0.0
Owen Dodgson,622,12,0,0,0,0,0,0,0,0,0.0,-2746,0,4.0,0,0.0
Pau Torres,584,12,4,0,2,15,1049,0,0,0,3.9,137875,0,4.6,38,-14.583333333333336
Paul Dummett,581,12,0,0,0,0,0,0,0,0,0.4,14571,0,3.9,0,0.0
Pedro Porro,506,12,4,3,4,13,987,0,0,0,13.1,1045082,1,5.3,45,-15.5
Pervis Estupiñán,131,12,5,3,0,10,495,1,0,0,18.3,-3289429,2,5.0,25,-3.083333333333332
Raphaël Varane,395,12,2,0,1,5,340,0,0,0,2.6,-135702,0,5.0,21,-2.25
Rayan Aït-Nouri,545,12,0,0,0,15,871,0,0,0,0.5,5531,4,4.5,12,-4.250000000000001
Reece Burke,318,12,0,1,0,12,595,0,0,0,0.1,8011,1,4.0,13,-5.75
Reece James,206,12,0,1,0,7,243,0,0,0,4.5,-1088423,0,5.3,10,-1.3333333333333337
Reuell Walters,736,12,0,0,0,0,0,0,0,0,0.0,330,0,4.0,0,0.0
Rhys Norrington-Davies,487,12,0,0,0,0,0,0,0,0,0.1,4116,0,3.9,0,0.0
Richie Laryea,452,12,0,0,0,0,0,0,0,0,0.0,-480,0,4.5,0,0.0
Rico Henry,103,12,0,1,1,5,401,0,0,0,1.1,-144180,1,4.3,13,-1.333333333333334
Rico Lewis,358,12,0,0,2,1,166,0,0,0,0.3,-17185,0,4.3,15,-4.25
Rob Holding,7,12,0,0,0,0,0,0,0,0,0.1,-7191,0,4.3,0,0.0
Ryan Fredericks,68,12,0,0,0,0,0,0,0,0,0.0,-1504,0,4.4,0,0.0
Ryan Giles,553,12,0,0,0,8,283,0,0,0,0.1,-7306,0,4.3,6,-1.6666666666666663
Ryan Sessegnon,514,12,0,0,0,0,0,0,0,0,0.0,-378,0,4.4,0,0.0
Rúben Gato Alves Dias,350,12,1,0,3,10,825,1,0,0,7.3,-60661,0,5.5,27,-9.916666666666668
Santiago Bueno,697,12,0,0,0,0,0,0,0,0,0.0,406,0,4.5,0,0.0
Scott McKenna,455,12,1,0,1,6,416,0,0,0,0.1,-3495,0,4.5,12,-2.583333333333334
Seamus Coleman,247,12,0,0,0,0,0,0,0,0,0.0,-3970,0,4.4,0,0.0
Sepp van den Berg,312,12,0,0,0,0,0,0,0,0,0.0,-2182,0,4.0,0,0.0
Serge Aurier,436,12,3,2,1,14,741,0,0,0,1.3,56107,2,4.5,25,-6.0
Sergio Gómez,366,12,0,1,0,0,15,0,0,0,1.0,207,0,3.9,5,-1.3333333333333337
Sergio Reguilón,508,12,2,0,2,4,257,0,0,0,0.6,31021,1,4.4,15,-2.416666666666667
Steve Cook,441,12,0,0,0,0,0,0,0,0,0.0,-2246,0,4.5,0,0.0
Sven Botman,405,12,4,1,2,3,446,0,0,0,6.7,-1092179,1,4.6,30,-8.5
Takehiro Tomiyasu,25,12,0,0,1,4,415,0,0,0,0.4,11457,0,4.5,20,-7.416666666666668
Tariq Lamptey,139,12,0,2,0,5,137,0,0,0,6.5,-52674,2,4.0,8,-2.75
Teden Mengi,393,12,0,0,0,9,515,0,0,0,1.1,84009,0,3.9,9,-3.083333333333333
Terence Kongolo,274,12,0,0,0,0,0,0,0,0,0.1,-8519,0,4.0,0,0.0
Thiago Emiliano da Silva,217,12,2,0,3,16,1080,0,0,0,3.5,24611,2,5.0,37,-9.5
Thilo Kehrer,537,12,0,0,0,1,18,0,0,0,0.1,-6598,1,4.3,2,-0.3333333333333333
Tim Ream,281,12,4,0,3,18,963,0,0,0,1.6,93287,1,4.5,34,-10.25
Timothy Castagne,688,12,3,0,2,11,737,0,0,0,0.5,42792,1,4.5,24,-5.222222222222224
Tino Livramento,633,12,0,0,0,2,136,0,0,0,0.5,28570,1,4.3,4,-1.6666666666666663
Tom Lockyer,575,12,1,1,0,20,945,1,0,0,0.3,5703,3,4.3,20,-8.750000000000002
Tosin Adarabioyo,286,12,0,0,0,0,1,0,0,0,0.0,-4863,0,4.3,1,-0.16666666666666666
Toti António Gomes,573,12,0,1,0,8,583,0,0,0,0.1,1594,0,4.4,17,-6.999999999999999
Trent Alexander-Arnold,290,12,4,1,4,7,778,0,0,0,8.4,-920141,3,7.9,38,-11.5
Trevoh Chalobah,194,12,0,0,0,0,0,0,0,0,0.0,-15724,0,4.3,0,0.0
Tyrell Malacia,389,12,0,0,0,0,0,0,0,0,0.0,-3925,0,4.3,0,0.0
Tyrick Mitchell,234,12,5,1,5,16,1059,0,0,0,6.9,632250,2,4.7,50,-12.833333333333332
Tyrone Mings,51,12,0,0,0,2,30,0,0,0,1.4,-1037749,0,4.1,0,0.0
Valintino Adedokun,733,12,0,0,0,0,0,0,0,0,0.0,617,0,4.0,0,0.0
Victor Lindelöf,386,12,3,1,2,9,763,0,0,0,0.5,19410,1,4.5,35,-8.166666666666666
Victor da Silva,182,12,0,0,0,12,419,0,0,0,0.1,-7514,0,4.4,6,-1.833333333333333
Virgil van Dijk,313,12,5,2,3,9,837,0,0,0,8.2,-216240,1,6.1,36,-14.666666666666668
Vitalii Mykolenko,260,12,6,1,2,8,717,0,0,0,2.7,237175,1,4.4,42,-13.750000000000002
Vladimír Coufal,528,12,4,4,1,22,1076,0,0,0,3.6,324226,1,4.6,36,-14.416666666666668
Wesley Fofana,201,12,0,0,0,0,0,0,0,0,0.0,-2368,0,4.4,0,0.0
William Saliba,20,12,5,1,5,10,1080,0,0,0,31.3,1056864,0,5.4,55,-15.749999999999995
Willy Boly,439,12,3,0,3,12,767,0,0,0,0.7,44662,1,4.5,35,-13.0
Yasser Larouci,592,12,0,0,0,7,219,0,0,0,0.0,-2534,0,4.3,4,-0.5
Álvaro Fernández Carreras,380,12,0,0,0,0,0,0,0,0,0.1,-18995,0,4.0,0,0.0
